montant_demande_fcfa,duree_mois,nb_transactions_30j,ville,age,metier,revenu_mensuel_fcfa,anciennete_mobile_money_mois,operateur_principal,nb_transactions_total,montant_total_fcfa,montant_moyen_fcfa,montant_max_fcfa,montant_std_fcfa,nb_types_distincts,nb_operateurs_distincts,jours_depuis_derniere_trans,nb_achat_credit,nb_depot,nb_paiement_facture,nb_retrait,nb_transfert,charge_mensuelle_fcfa,ratio_endettement,capacite_remboursement,ratio_montant_revenu_annuel,montant_par_mois,intensite_utilisation,ratio_moy_trans_revenu,ratio_volume_trans_pret,regularite_transactions,ratio_trans_30j_total,score_diversification,recence_normalisee,actif_30j,actif_7j,pct_achat_credit,pct_depot,pct_paiement_facture,pct_retrait,pct_transfert,ratio_retrait_depot,engagement_paiement,tranche_age,segment_anciennete,segment_revenu
25000,6,29,5,27,3,55569,39,0,29,335882,11582.137931034482,21803,5952.141815731652,5,1,1,2,8,5,5,9,4166.666666666667,0.07498185439123732,51402.333333333336,0.03749092719561866,4166.666666666667,0.725,0.208428043172173,13.434742610295588,0.5138626381875494,0.9666666666666667,5,0.02040816326530612,1,1,0.06666666666666667,0.26666666666666666,0.16666666666666666,0.16666666666666666,0.3,0.5555555555555556,0.16666666666666666,0,1,0
272222,12,59,2,56,3,118551,34,2,59,1513350,25650.0,47160,13716.210058879617,5,1,2,8,11,13,13,14,22685.166666666668,0.19135365089005296,95865.83333333333,0.19135365089005293,22685.166666666668,1.6857142857142857,0.216362578130931,5.5592290144477134,0.5347241845885001,0.9833333333333333,5,0.04081632653061224,1,1,0.13333333333333333,0.18333333333333332,0.21666666666666667,0.21666666666666667,0.23333333333333334,1.0833333333333333,0.21666666666666667,1,0,1
104765,12,64,6,23,8,79992,57,0,64,998108,15595.4375,31822,8714.769313441862,5,1,1,10,15,13,18,8,8730.416666666666,0.10914112244557789,71261.58333333333,0.10914112244557789,8730.416666666666,1.103448275862069,0.19496246499649966,9.52702212549873,0.5587666615175333,0.9846153846153847,5,0.02040816326530612,1,1,0.15384615384615385,0.23076923076923078,0.2,0.27692307692307694,0.12307692307692308,1.125,0.2,2,1,0
25000,6,25,0,34,0,31820,36,1,25,168830,6753.2,12486,3712.6711969506086,5,1,0,4,3,2,8,8,4166.666666666667,0.13094489838675885,27653.333333333332,0.06547244919337943,4166.666666666667,0.6756756756756757,0.21223130106851038,6.752929882804688,0.5496833373235334,0.9615384615384616,5,0.0,1,1,0.15384615384615385,0.11538461538461539,0.07692307692307693,0.3076923076923077,0.3076923076923077,2.0,0.07692307692307693,0,0,0
59774,12,62,5,63,9,89288,35,2,62,1173147,18921.725806451614,34772,10147.286269170858,5,1,0,19,11,13,13,6,4981.166666666667,0.05578763850312099,84306.83333333333,0.05578763850312099,4981.166666666667,1.7222222222222223,0.21191790393391735,19.626047678795484,0.5362486553449498,0.9841269841269841,5,0.0,1,1,0.30158730158730157,0.1746031746031746,0.20634920634920634,0.20634920634920634,0.09523809523809523,1.0833333333333333,0.20634920634920634,1,0,1
115839,6,47,5,32,1,86502,8,2,47,811403,17263.893617021276,32916,9459.567593376243,5,1,0,12,8,10,10,7,19306.5,0.22319137129777347,67195.5,0.11159568564888674,19306.5,5.222222222222222,0.19957797064832347,7.004514848066298,0.5479076676180706,0.9791666666666666,5,0.0,1,1,0.25,0.16666666666666666,0.20833333333333334,0.20833333333333334,0.14583333333333334,1.1111111111111112,0.20833333333333334,0,2,1
63868,9,64,2,32,1,108195,46,0,64,1437151,22455.484375,43007,13133.576828770309,5,1,2,15,14,14,10,11,7096.444444444444,0.0655893936359762,101098.55555555556,0.049192045226982145,7096.444444444444,1.3617021276595744,0.20754641503766347,22.501542219229986,0.5848456334238786,0.9846153846153847,5,0.04081632653061224,1,1,0.23076923076923078,0.2153846153846154,0.2153846153846154,0.15384615384615385,0.16923076923076924,0.6666666666666666,0.2153846153846154,0,1,1
105128,9,42,0,64,7,43709,14,1,42,373207,8885.880952380952,17406,4838.621020055806,5,1,1,12,4,9,7,10,11680.888888888889,0.26724219014136424,32028.11111111111,0.20043164260602317,11680.888888888889,2.8,0.20329636807936471,3.549990963482959,0.5444678561559277,0.9767441860465116,5,0.02040816326530612,1,1,0.27906976744186046,0.09302325581395349,0.20930232558139536,0.16279069767441862,0.23255813953488372,1.4,0.20930232558139536,1,2,0
95943,12,69,4,30,1,86629,52,0,69,1056129,15306.217391304348,34105,9066.981704594857,5,1,2,13,14,11,12,19,7995.25,0.09229299657158688,78633.75,0.09229299657158688,7995.25,1.3018867924528301,0.17668699155368697,11.007764946218627,0.5923337647079857,0.9857142857142858,5,0.04081632653061224,1,1,0.18571428571428572,0.2,0.15714285714285714,0.17142857142857143,0.2714285714285714,0.8,0.15714285714285714,0,1,1
168972,3,38,7,64,4,127189,27,1,38,932889,24549.71052631579,50371,15194.255708509116,5,1,1,9,9,9,6,5,56324.0,0.44283703779414885,70865.0,0.11070925944853721,56324.0,1.3571428571428572,0.19301756068776224,5.520935297355199,0.6188927074930262,0.9743589743589743,5,0.02040816326530612,1,1,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.15384615384615385,0.1282051282051282,0.6,0.23076923076923078,1,0,3
314314,6,36,4,64,3,154264,4,0,36,1105161,30698.916666666668,56822,15558.932167499708,5,1,4,7,7,3,11,8,52385.666666666664,0.3395845217722,101878.33333333334,0.16979226088610003,52385.666666666664,7.2,0.19900246763124688,3.5160937276299253,0.5068069837594469,0.972972972972973,5,0.08163265306122448,1,1,0.1891891891891892,0.1891891891891892,0.08108108108108109,0.2972972972972973,0.21621621621621623,1.375,0.08108108108108109,1,3,3
121833,9,29,0,45,2,71719,29,2,29,410197,14144.724137931034,27658,7865.99994958661,5,1,36,9,6,6,6,2,13537.0,0.1887505403031275,58182.0,0.1415629052273456,13537.0,0.9666666666666667,0.1972242242352938,3.3668516177750054,0.556069090057704,0.9666666666666667,5,0.7346938775510204,0,0,0.3,0.2,0.2,0.2,0.06666666666666667,0.8571428571428571,0.2,3,0,0
133680,3,44,7,53,1,72658,5,0,44,689265,15665.113636363636,28950,8639.767789235006,5,1,1,10,11,6,7,10,44560.0,0.613284153155881,28098.0,0.15332103828897026,44560.0,7.333333333333333,0.21560067214021356,5.156043117570934,0.5514940073701928,0.9777777777777777,5,0.02040816326530612,1,1,0.2222222222222222,0.24444444444444444,0.13333333333333333,0.15555555555555556,0.2222222222222222,0.5833333333333334,0.13333333333333333,1,3,0
180672,3,41,6,33,2,138812,1,2,41,1114892,27192.48780487805,53549,13784.980780040918,5,1,13,7,6,4,10,14,60224.0,0.4338529810102873,78588.0,0.10846324525257182,60224.0,20.5,0.19589435931243732,6.170772611292224,0.5069221307304363,0.9761904761904762,5,0.2653061224489796,1,0,0.16666666666666666,0.14285714285714285,0.09523809523809523,0.23809523809523808,0.3333333333333333,1.4285714285714286,0.09523809523809523,0,3,3
234376,9,40,2,28,6,96877,26,0,40,676700,16917.5,36329,11634.252193525985,5,1,1,7,6,8,9,10,26041.777777777777,0.2688128015708349,70835.22222222222,0.2016096011781262,26041.777777777777,1.4814814814814814,0.1746286528278126,2.8872286956484636,0.6876645207037257,0.975609756097561,5,0.02040816326530612,1,1,0.17073170731707318,0.14634146341463414,0.1951219512195122,0.21951219512195122,0.24390243902439024,1.2857142857142858,0.1951219512195122,0,0,1
421364,12,22,7,27,5,168808,28,2,22,897297,40786.22727272727,66308,15502.534732628845,5,1,5,5,7,2,5,3,35113.666666666664,0.20800949402082047,133694.33333333334,0.2080094940208205,35113.666666666664,0.7586206896551724,0.24161311829254106,2.1295005517781496,0.3800830742666037,0.9565217391304348,5,0.10204081632653061,1,1,0.21739130434782608,0.30434782608695654,0.08695652173913043,0.21739130434782608,0.13043478260869565,0.625,0.08695652173913043,0,0,3
301632,3,51,2,21,7,127822,21,2,51,1382138,27100.745098039217,51070,14688.648731375037,5,1,3,10,9,14,5,13,100544.0,0.7865938570825054,27278.0,0.19664846427062635,100544.0,2.3181818181818183,0.21201941057125703,4.582184310072174,0.5419816575736942,0.9807692307692307,5,0.061224489795918366,1,1,0.19230769230769232,0.17307692307692307,0.2692307692307692,0.09615384615384616,0.25,0.5,0.2692307692307692,2,0,3
65871,12,45,2,50,1,100701,11,0,45,900088,20001.95555555556,38697,10439.287815214642,5,1,8,7,3,13,11,11,5489.25,0.05451038222063336,95211.75,0.05451038222063336,5489.25,3.75,0.19862717903055144,13.664197230993441,0.5218872674201022,0.9782608695652174,5,0.16326530612244897,1,0,0.15217391304347827,0.06521739130434782,0.2826086956521739,0.2391304347826087,0.2391304347826087,2.75,0.2826086956521739,1,2,1
40604,6,24,0,60,9,132229,26,2,24,582963,24290.125,51676,13243.067811902656,5,1,9,6,9,2,2,5,6767.333333333333,0.051178889149379736,125461.66666666667,0.025589444574689868,6767.333333333333,0.8888888888888888,0.1836974113091682,14.356926486885852,0.5451813290616493,0.96,5,0.1836734693877551,1,0,0.24,0.36,0.08,0.08,0.2,0.2,0.08,1,0,3
93473,3,33,2,47,7,46049,5,1,33,288411,8739.727272727272,18345,4902.497228917672,5,1,0,7,5,7,9,5,31157.666666666668,0.6766198324972674,14891.333333333332,0.16915495812431686,31157.666666666668,5.5,0.1897919015120257,3.085467616663457,0.560879784479078,0.9705882352941176,5,0.0,1,1,0.20588235294117646,0.14705882352941177,0.20588235294117646,0.2647058823529412,0.14705882352941177,1.5,0.20588235294117646,1,3,0
155612,3,35,3,57,0,66574,35,0,35,494315,14123.285714285714,25465,7048.159516003112,5,1,5,5,4,8,11,7,51870.666666666664,0.7791430087822072,14703.333333333336,0.1947857521955518,51870.666666666664,0.9722222222222222,0.2121441661051719,3.176566225186842,0.4990099788815797,0.9722222222222222,5,0.10204081632653061,1,1,0.1388888888888889,0.1111111111111111,0.2222222222222222,0.3055555555555556,0.19444444444444445,2.2,0.2222222222222222,1,0,0
277998,6,35,6,26,9,145500,60,0,35,1093551,31244.314285714285,55906,13681.362807873791,5,1,2,13,10,5,3,4,46333.0,0.3184398625429553,99167.0,0.15921993127147765,46333.0,0.5737704918032787,0.21473755522827687,3.933650840470649,0.43786926522064357,0.9722222222222222,5,0.04081632653061224,1,1,0.3611111111111111,0.2777777777777778,0.1388888888888889,0.08333333333333333,0.1111111111111111,0.2727272727272727,0.1388888888888889,0,1,3
67075,9,21,1,31,9,60247,14,1,21,244866,11660.285714285714,22437,5867.579877111663,5,1,1,5,8,3,2,3,7452.777777777777,0.12370371599876803,52794.22222222222,0.09277778699907603,7452.777777777777,1.4,0.19354135001387146,3.6505754666348618,0.5031674912075567,0.9545454545454546,5,0.02040816326530612,1,1,0.22727272727272727,0.36363636363636365,0.13636363636363635,0.09090909090909091,0.13636363636363635,0.2222222222222222,0.13636363636363635,0,2,0
25000,6,19,3,28,8,48817,9,1,19,209583,11030.684210526317,19443,5672.4852974946,5,1,1,4,6,2,4,3,4166.666666666667,0.08535278011075377,44650.333333333336,0.042676390055376885,4166.666666666667,1.9,0.22595989533413188,8.382984680612775,0.5141993905229787,0.95,5,0.02040816326530612,1,1,0.2,0.3,0.1,0.2,0.15,0.5714285714285714,0.1,0,2,0
113298,3,60,0,45,2,46299,36,0,60,578437,9640.616666666669,18383,4695.7829299427,5,1,13,12,11,14,8,15,37766.0,0.8156979632389468,8533.0,0.2039244908097367,37766.0,1.6216216216216217,0.20822515965067645,5.105402518998402,0.4870327344766904,0.9836065573770492,5,0.2653061224489796,1,0,0.19672131147540983,0.18032786885245902,0.22950819672131148,0.13114754098360656,0.2459016393442623,0.6666666666666666,0.22950819672131148,3,0,0
237094,9,14,6,40,0,166013,16,2,14,576145,41153.21428571428,66131,16639.92733054847,4,1,12,5,4,3,0,2,26343.777777777777,0.15868502935178436,139669.22222222222,0.11901377201383827,26343.777777777777,0.8235294117647058,0.24789151624098282,2.4300175035323393,0.40433106595172275,0.9333333333333333,4,0.24489795918367346,1,0,0.3333333333333333,0.26666666666666666,0.2,0.0,0.13333333333333333,0.0,0.2,3,2,3
123572,12,69,4,60,5,142147,60,2,69,1988969,28825.63768115942,56842,17741.793544498767,5,1,4,14,14,14,14,13,10297.666666666666,0.07244378472051233,131849.33333333334,0.07244378472051233,10297.666666666666,1.1311475409836065,0.20278752053268392,16.095498207537243,0.6154652422781339,0.9857142857142858,5,0.08163265306122448,1,1,0.2,0.2,0.2,0.2,0.18571428571428572,0.9333333333333333,0.2,1,1,3
46959,9,28,2,48,5,30506,25,0,28,159679,5702.821428571428,12163,3462.1413845958427,5,1,2,3,4,8,5,8,5217.666666666667,0.1710373915513888,25288.333333333332,0.1282780436635416,5217.666666666667,1.0769230769230769,0.18694097648237817,3.400319420783646,0.6069862859404008,0.9655172413793104,5,0.04081632653061224,1,1,0.10344827586206896,0.13793103448275862,0.27586206896551724,0.1724137931034483,0.27586206896551724,1.0,0.27586206896551724,1,0,0
37994,9,69,6,35,3,61683,56,1,69,906087,13131.695652173914,24660,6490.195837488373,5,1,3,14,11,15,16,13,4221.555555555556,0.06843953043067873,57461.444444444445,0.05132964782300904,4221.555555555556,1.2105263157894737,0.21289002889246492,23.84753257007501,0.4942013436833147,0.9857142857142858,5,0.061224489795918366,1,1,0.2,0.15714285714285714,0.21428571428571427,0.22857142857142856,0.18571428571428572,1.3333333333333333,0.21428571428571427,0,1,0
199498,9,39,1,19,1,101743,54,2,39,776142,19901.07692307692,40001,11743.737720667208,5,1,0,11,7,2,9,10,22166.444444444445,0.21786702224668475,79576.55555555556,0.16340026668501353,22166.444444444445,0.7090909090909091,0.19560143619784082,3.8904555912560963,0.5900759888557195,0.975,5,0.0,1,1,0.275,0.175,0.05,0.225,0.25,1.125,0.05,2,1,1
251745,6,57,5,34,4,123470,25,1,57,1455044,25527.087719298244,49347,13970.634510184853,5,1,0,18,9,11,11,8,41957.5,0.33981938932534217,81512.5,0.16990969466267108,41957.5,2.1923076923076925,0.20674728856643917,5.7798098082988405,0.5472652187583794,0.9827586206896551,5,0.0,1,1,0.3103448275862069,0.15517241379310345,0.1896551724137931,0.1896551724137931,0.13793103448275862,1.1,0.1896551724137931,0,0,3
178850,9,54,5,41,6,86068,52,0,54,988158,18299.222222222223,34194,9034.830141487697,5,1,4,10,10,11,15,8,19872.222222222223,0.2308897874032419,66195.77777777778,0.1731673405524314,19872.222222222223,1.0188679245283019,0.2126135407145771,5.525034805508496,0.49370056995901246,0.9818181818181818,5,0.08163265306122448,1,1,0.18181818181818182,0.18181818181818182,0.2,0.2727272727272727,0.14545454545454545,1.3636363636363635,0.2,3,1,1
25661,9,34,0,30,6,84306,19,1,34,608165,17887.20588235294,32990,10761.561489096304,5,1,0,4,10,4,9,7,2851.222222222222,0.03381992055396083,81454.77777777778,0.025364940415470626,2851.222222222222,1.7,0.21217002209039618,23.699049177772583,0.6016009408586241,0.9714285714285714,5,0.0,1,1,0.11428571428571428,0.2857142857142857,0.11428571428571428,0.2571428571428571,0.2,0.8181818181818182,0.11428571428571428,0,0,1
655102,9,35,4,53,4,290210,20,2,35,2286390,65325.42857142857,99670,30717.271597095794,5,1,5,11,5,6,8,5,72789.11111111111,0.2508153099862552,217420.88888888888,0.18811148248969137,72789.11111111111,1.6666666666666667,0.22509709717593665,3.4901229272343435,0.470212014782183,0.9722222222222222,5,0.10204081632653061,1,1,0.3055555555555556,0.1388888888888889,0.16666666666666666,0.2222222222222222,0.1388888888888889,1.3333333333333333,0.16666666666666666,1,0,2
316235,3,30,0,60,1,142888,51,2,30,745515,24850.5,53904,15288.346198984376,5,1,13,5,7,4,7,7,105411.66666666667,0.7377223186458391,37476.33333333333,0.1844305796614598,105411.66666666667,0.5769230769230769,0.17391593415822182,2.3574640458391833,0.6151880650658663,0.967741935483871,5,0.2653061224489796,1,0,0.16129032258064516,0.22580645161290322,0.12903225806451613,0.22580645161290322,0.22580645161290322,0.875,0.12903225806451613,1,1,3
309682,12,43,5,48,7,142926,3,0,43,1308649,30433.697674418603,56654,14817.30694240592,5,1,1,11,7,8,10,7,25806.833333333332,0.18056080302627467,117119.16666666667,0.18056080302627467,25806.833333333332,10.75,0.2129332498944811,4.2257695772774095,0.4868557296319184,0.9772727272727273,5,0.02040816326530612,1,1,0.25,0.1590909090909091,0.18181818181818182,0.22727272727272727,0.1590909090909091,1.25,0.18181818181818182,1,3,3
109565,12,23,5,63,6,65970,37,2,23,315709,13726.478260869566,25159,7011.681401707537,5,1,22,6,8,7,1,1,9130.416666666666,0.13840255671769996,56839.583333333336,0.13840255671769996,9130.416666666666,0.6052631578947368,0.20807152131074072,2.8814504499571036,0.5107770901881131,0.9583333333333334,5,0.4489795918367347,1,0,0.25,0.3333333333333333,0.2916666666666667,0.041666666666666664,0.041666666666666664,0.1111111111111111,0.2916666666666667,1,1,0
122383,12,42,2,24,6,87450,45,0,42,720409,17152.595238095237,34448,9259.156941708909,5,1,1,10,6,5,12,9,10198.583333333334,0.11662187916904898,77251.41666666667,0.11662187916904898,10198.583333333334,0.9130434782608695,0.19614174085872196,5.886463916851876,0.5397793764624855,0.9767441860465116,5,0.02040816326530612,1,1,0.23255813953488372,0.13953488372093023,0.11627906976744186,0.27906976744186046,0.20930232558139536,1.7142857142857142,0.11627906976744186,2,1,1
140991,6,43,6,47,2,100655,16,2,43,908804,21134.97674418605,37462,9516.387631189964,5,1,7,5,6,14,11,7,23498.5,0.23345586409020913,77156.5,0.11672793204510457,23498.5,2.5294117647058822,0.20997443489330933,6.4457841579664095,0.4502459359398979,0.9772727272727273,5,0.14285714285714285,1,1,0.11363636363636363,0.13636363636363635,0.3181818181818182,0.25,0.1590909090909091,1.5714285714285714,0.3181818181818182,1,2,1
409560,6,70,7,57,0,705435,58,2,70,5952717,85038.81428571428,99670,25243.98892908898,5,1,4,16,10,14,19,11,68260.0,0.09676299021171333,637175.0,0.04838149510585667,68260.0,1.1864406779661016,0.1205480508986856,14.534384377418748,0.29684905995061284,0.9859154929577465,5,0.08163265306122448,1,1,0.22535211267605634,0.14084507042253522,0.19718309859154928,0.2676056338028169,0.15492957746478872,1.7272727272727273,0.19718309859154928,1,1,2
134844,3,63,3,33,9,61134,46,2,63,789115,12525.63492063492,24179,6564.658238166108,5,1,0,15,11,14,14,9,44948.0,0.7352373474662217,16186.0,0.18380933686655543,44948.0,1.3404255319148937,0.20488819512276182,5.852015276799288,0.5240560038476298,0.984375,5,0.0,1,1,0.234375,0.171875,0.21875,0.21875,0.140625,1.1666666666666667,0.21875,0,1,0
58626,6,48,0,32,6,65936,9,1,48,660747,13765.5625,26321,7280.042690154963,5,1,3,7,13,12,5,11,9771.0,0.1481891531181752,56165.0,0.0740945765590876,9771.0,4.8,0.20877157395049745,11.270353250208949,0.5288206616688053,0.9795918367346939,5,0.061224489795918366,1,1,0.14285714285714285,0.2653061224489796,0.24489795918367346,0.10204081632653061,0.22448979591836735,0.35714285714285715,0.24489795918367346,0,2,0
25000,3,26,0,47,2,58355,26,1,26,285444,10978.615384615385,20846,5798.945401204761,5,1,5,3,5,5,9,4,8333.333333333334,0.14280410133379032,50021.666666666664,0.03570102533344758,8333.333333333334,0.9629629629629629,0.18813495646671896,11.417303307867686,0.5281556045515248,0.9629629629629629,5,0.10204081632653061,1,1,0.1111111111111111,0.18518518518518517,0.18518518518518517,0.3333333333333333,0.14814814814814814,1.5,0.18518518518518517,1,0,0
73199,12,31,2,23,6,143974,38,0,31,867892,27996.516129032258,56736,13326.087547541145,5,1,12,6,4,4,9,8,6099.916666666667,0.04236818221808567,137874.08333333334,0.04236818221808567,6099.916666666667,0.7948717948717948,0.19445536089177393,11.856448087431694,0.47597392161951635,0.96875,5,0.24489795918367346,1,0,0.1875,0.125,0.125,0.28125,0.25,1.8,0.125,2,1,3
79768,3,53,4,38,5,156602,17,2,53,1675362,31610.603773584902,57300,15510.95205794382,5,1,1,5,16,11,7,14,26589.333333333332,0.16978923215114322,130012.66666666667,0.04244730803778581,26589.333333333332,2.9444444444444446,0.2018531294209838,21.002670210232044,0.49067273426048025,0.9814814814814815,5,0.02040816326530612,1,1,0.09259259259259259,0.2962962962962963,0.2037037037037037,0.12962962962962962,0.25925925925925924,0.4117647058823529,0.2037037037037037,3,2,3
63760,12,40,3,44,9,46795,25,0,40,401638,10040.95,18179,5044.977786792601,5,1,2,4,11,8,9,8,5313.333333333333,0.11354489439754958,41481.666666666664,0.1135448943975496,5313.333333333333,1.5384615384615385,0.21457313815578588,6.299117015103277,0.5023902515739076,0.975609756097561,5,0.04081632653061224,1,1,0.0975609756097561,0.2682926829268293,0.1951219512195122,0.21951219512195122,0.1951219512195122,0.75,0.1951219512195122,3,0,0
146150,9,40,1,32,1,87397,4,1,40,738644,18466.1,33642,9616.116919272989,5,1,0,10,11,5,5,9,16238.888888888889,0.1858060218186996,71158.11111111111,0.1393545163640247,16238.888888888889,8.0,0.2112898612080506,5.0539784195797495,0.5207161340585684,0.975609756097561,5,0.0,1,1,0.24390243902439024,0.2682926829268293,0.12195121951219512,0.12195121951219512,0.21951219512195122,0.4166666666666667,0.12195121951219512,0,3,1
70440,3,25,0,33,2,30000,40,2,25,181697,7267.88,11922,3214.6736267725014,5,1,16,4,3,4,3,11,23480.0,0.7826666666666666,6520.0,0.19566666666666666,23480.0,0.6097560975609756,0.24226266666666668,2.5794210757939267,0.44225157476426924,0.9615384615384616,5,0.32653061224489793,1,0,0.15384615384615385,0.11538461538461539,0.15384615384615385,0.11538461538461539,0.4230769230769231,0.75,0.15384615384615385,0,1,0
82053,3,23,7,62,9,147271,14,2,23,696563,30285.34782608696,53158,12962.066461966118,5,1,0,6,1,5,7,4,27351.0,0.1857188448506495,119920.0,0.04642971121266237,27351.0,1.5333333333333334,0.20564366254107705,8.489080361713018,0.42798380763498073,0.9583333333333334,5,0.0,1,1,0.25,0.041666666666666664,0.20833333333333334,0.2916666666666667,0.16666666666666666,3.5,0.20833333333333334,1,2,3
242047,12,37,4,43,5,308326,37,0,37,2359603,63773.05405405405,99670,31309.233108307373,5,1,12,8,7,5,9,8,20170.583333333332,0.06541966403525272,288155.4166666667,0.06541966403525273,20170.583333333332,0.9736842105263158,0.20683644601510756,9.748492034637758,0.49093998449228393,0.9736842105263158,5,0.24489795918367346,1,0,0.21052631578947367,0.18421052631578946,0.13157894736842105,0.23684210526315788,0.21052631578947367,1.125,0.13157894736842105,3,1,2
192339,12,24,6,62,9,172735,16,1,24,1162336,48430.66666666666,67892,16968.96602795736,5,1,3,3,4,7,5,5,16028.25,0.09279098040350826,156706.75,0.09279098040350826,16028.25,1.411764705882353,0.28037552705975427,6.0431319538317565,0.35036923558189953,0.96,5,0.061224489795918366,1,1,0.12,0.16,0.28,0.2,0.2,1.0,0.28,1,2,3
